Region,Division,State,County,Population,Combined Key
3,5,Georgia,Bryan,46938,"Bryan, Georgia, US"
3,5,Georgia,Bulloch,82442,"Bulloch, Georgia, US"
3,5,Georgia,Burke,24310,"Burke, Georgia, US"
3,5,Georgia,Butts,25781,"Butts, Georgia, US"
3,5,Georgia,Calhoun,5509,"Calhoun, Georgia, US"
3,5,Georgia,Camden,55664,"Camden, Georgia, US"
3,5,Georgia,Candler,11037,"Candler, Georgia, US"
3,5,Georgia,Carroll,121968,"Carroll, Georgia, US"
3,5,Georgia,Catoosa,68397,"Catoosa, Georgia, US"
3,5,Georgia,Charlton,12766,"Charlton, Georgia, US"
3,5,Georgia,Chatham,296329,"Chatham, Georgia, US"
3,5,Georgia,Chattahoochee,9048,"Chattahoochee, Georgia, US"
3,5,Georgia,Chattooga,24932,"Chattooga, Georgia, US"
3,5,Georgia,Cherokee,274615,"Cherokee, Georgia, US"
3,5,Georgia,Clarke,128711,"Clarke, Georgia, US"
3,5,Georgia,Clay,2882,"Clay, Georgia, US"
3,5,Georgia,Clayton,297100,"Clayton, Georgia, US"
3,5,Georgia,Clinch,6725,"Clinch, Georgia, US"
3,5,Georgia,Cobb,766802,"Cobb, Georgia, US"
3,5,Georgia,Coffee,43386,"Coffee, Georgia, US"
3,5,Georgia,Colquitt,45812,"Colquitt, Georgia, US"
3,5,Georgia,Columbia,159639,"Columbia, Georgia, US"
3,5,Georgia,Cook,17225,"Cook, Georgia, US"
3,5,Georgia,Coweta,149956,"Coweta, Georgia, US"
3,5,Georgia,Crawford,12153,"Crawford, Georgia, US"
3,5,Georgia,Crisp,19879,"Crisp, Georgia, US"
3,5,Georgia,Dade,16326,"Dade, Georgia, US"
3,5,Georgia,Dawson,28497,"Dawson, Georgia, US"
3,5,Georgia,Decatur,29038,"Decatur, Georgia, US"
3,5,Georgia,DeKalb,757718,"DeKalb, Georgia, US"
3,5,Georgia,Dodge,19759,"Dodge, Georgia, US"
3,5,Georgia,Dooly,10885,"Dooly, Georgia, US"
3,5,Georgia,Dougherty,84844,"Dougherty, Georgia, US"
3,5,Georgia,Douglas,145814,"Douglas, Georgia, US"
3,5,Georgia,Early,10619,"Early, Georgia, US"
3,5,Georgia,Echols,3699,"Echols, Georgia, US"
3,5,Georgia,Effingham,66741,"Effingham, Georgia, US"
3,5,Georgia,Elbert,19579,"Elbert, Georgia, US"
3,5,Georgia,Emanuel,22716,"Emanuel, Georgia, US"
3,5,Georgia,Evans,10672,"Evans, Georgia, US"
3,5,Georgia,Fannin,25817,"Fannin, Georgia, US"
3,5,Georgia,Fayette,120574,"Fayette, Georgia, US"
3,5,Georgia,Floyd,98771,"Floyd, Georgia, US"
3,5,Georgia,Forsyth,260206,"Forsyth, Georgia, US"
3,5,Georgia,Franklin,23785,"Franklin, Georgia, US"
